Date,Price,Open,High,Low,Vol.,Change %
10/15/2020,5600.0,5700.0,5750.0,5600.0,38640000.0,-3.03%
10/14/2020,5775.0,5725.0,5775.0,5625.0,54890000.0,1.76%
10/13/2020,5675.0,5625.0,5675.0,5525.0,34930000.0,0.89%
10/12/2020,5625.0,5575.0,5650.0,5550.0,38970000.0,1.35%
10/09/2020,5550.0,5450.0,5575.0,5450.0,45120000.0,1.83%
10/08/2020,5450.0,5550.0,5575.0,5425.0,44380000.0,-1.80%
10/07/2020,5550.0,5400.0,5550.0,5375.0,44370000.0,0.91%
10/06/2020,5500.0,5500.0,5550.0,5450.0,44550000.0,2.80%
10/05/2020,5350.0,5250.0,5375.0,5175.0,37150000.0,2.88%
10/02/2020,5200.0,5175.0,5225.0,5000.0,49570000.0,0.00%
10/01/2020,5200.0,5000.0,5200.0,4980.0,39480000.0,4.84%
09/30/2020,4960.0,5100.0,5150.0,4860.0,75760000.0,-2.27%
09/29/2020,5075.0,5200.0,5250.0,5025.0,55660000.0,-1.46%
09/28/2020,5150.0,5400.0,5425.0,5150.0,49850000.0,-3.74%
09/25/2020,5350.0,5200.0,5350.0,5075.0,70230000.0,5.42%
09/24/2020,5075.0,5050.0,5150.0,5000.0,60980000.0,-2.40%
09/23/2020,5200.0,5300.0,5375.0,5125.0,42360000.0,-1.89%
09/22/2020,5300.0,5300.0,5425.0,5275.0,56800000.0,-3.20%
09/21/2020,5475.0,5575.0,5625.0,5400.0,26470000.0,-1.79%
09/18/2020,5575.0,5575.0,5675.0,5500.0,45800000.0,0.00%
09/17/2020,5575.0,5600.0,5750.0,5525.0,38220000.0,-1.33%
09/16/2020,5650.0,5750.0,5750.0,5625.0,28970000.0,-0.44%
09/15/2020,5675.0,5750.0,5825.0,5600.0,64459999.99999999,-1.30%
09/14/2020,5750.0,5475.0,5775.0,5475.0,71780000.0,5.02%
09/11/2020,5475.0,5050.0,5525.0,5050.0,135580000.0,1.86%
09/10/2020,5375.0,5525.0,5525.0,5375.0,86390000.0,-6.93%
09/09/2020,5775.0,5900.0,5900.0,5750.0,49140000.0,-3.35%
09/08/2020,5975.0,5900.0,6000.0,5875.0,30170000.0,2.14%
09/07/2020,5850.0,5925.0,5950.0,5775.0,50340000.0,-1.27%
09/04/2020,5925.0,5950.0,5975.0,5850.0,53420000.0,-0.84%
09/03/2020,5975.0,6075.0,6150.0,5950.0,64510000.00000001,-1.65%
09/02/2020,6075.0,6125.0,6200.0,6050.0,46600000.0,-0.82%
09/01/2020,6125.0,5975.0,6125.0,5875.0,42670000.0,2.94%
08/31/2020,5950.0,6225.0,6300.0,5900.0,111410000.0,-4.42%
08/28/2020,6225.0,6275.0,6350.0,6200.0,37830000.0,-1.19%
08/27/2020,6300.0,6350.0,6350.0,6200.0,46730000.0,-0.79%
08/26/2020,6350.0,6250.0,6350.0,6175.0,39350000.0,1.60%
08/25/2020,6250.0,6050.0,6275.0,6050.0,66180000.00000001,4.17%
08/24/2020,6000.0,6050.0,6175.0,5925.0,66239999.99999999,-1.64%
08/19/2020,6100.0,6175.0,6250.0,6075.0,32259999.999999996,-0.81%
08/18/2020,6150.0,6025.0,6225.0,6025.0,57990000.0,2.07%
08/14/2020,6025.0,6075.0,6100.0,5950.0,33330000.0,-0.41%
08/13/2020,6050.0,6250.0,6250.0,6050.0,42990000.0,-1.63%
08/12/2020,6150.0,6000.0,6275.0,5950.0,46460000.0,2.93%
08/11/2020,5975.0,5825.0,6100.0,5800.0,58990000.0,3.02%
08/10/2020,5800.0,5800.0,5825.0,5650.0,25080000.0,0.00%
08/07/2020,5800.0,5700.0,5800.0,5625.0,28610000.0,0.43%
08/06/2020,5775.0,5700.0,5875.0,5700.0,45460000.0,1.32%
